ALUNO;MENSAGEM
58;todas aqui?
44;sim
55;sim, araujo já tá vindo também
55;a A está certa, acabei de ver na apostila
44;blz
57;entreii
57;a a ta certa mesmo
55;beleza kk
58;pelo que pesquisei a B sao exemplos de um erro nao-amostral
44;a  C está incorreta
57;sim
55;só A então?
57;eu acredito q sim
58;nao sei 
58;calmai
58;achei isso
57;pelo q pesquisei
57;"Um erro amostral é a diferença entre o resultado amostral e o verdadeiro resultado da população; tais erros resultam das flutuações amostrais devidas ao acaso.  Um erro não-amostral ocorre quando os dados amostrais são coletados, registrados ou analisados incorretamente (tal como a seleção de uma amostra tendenciosa, o uso de um instrumento de medida defeituoso, ou cópia incorreta dos dados)."
44;então pelo que vi sim
58;extamente isso que tamires mandou kkk
58;a esta certa e b errada
55;c errada também?
57;então é A?
58;acho que so A msm
57;pode ser mais q uma certa?
58;sim
44;calma, 
55;pode, mas pode ser apenas uma
55;C está certa gente
44;por análise a C pode estar correta
55;professor falou disso ontem
44;exatamente,
44;A e C
55;é A e C
55;concordam?
58;sim sim
44;vamos responder???
58;sim
55;bora lá então
58;respondido
58;tamires A e C
55;araujo respondeu só a kk
44;respondido
57;respondi
55;respondi
58;mt bom galera 
44;aêeee
57;apareceu um negocio aqui , q não entendi
55;o que?
44;o q?
55;entendi essa pergunta não
57;de consenso, mas eu nemtinha terminado de responder
58;so pra saber cade os dados pra fazer a conta?
44;também não, será q não esta faltando dados
57;Sim
55;ueeee
57;cade a tabela
44;cade a tabela
44;e agora?
55;alguém fala com a ishikawa? to sem celular aqui
57;tem como pular?
44;vou falar com ela
58;falei com ela
55;beleza, acho que não tem como pular
57;tambem, meu ta carregando
44;ok
58;calmai povo
44;o meu bugou tudo
57;achei isso aqui
57;olhem
57;Em uma cidade foi realizada uma entrevista com os usuários do transporte coletivo a fim de avaliar o nível de satisfação. Foram entrevistadas 1000 pessoas e os dados foram organizados em uma tabela. Com base nos dados, determine a nota que representa a média geral de satisfação dos usuários do transporte coletivo da cidade.      Média = (0*10 + 1*12+ 2*25 + 3*35 + 4*150 + 5*340 + 6*170 + 7*136 + 8*80 + 9*40 + 10*2) / 1000  Média = (0 + 12 + 50 + 105 + 600 + 1700 + 1020 + 952 + 640 + 360 + 20) / 1000  Média = 5459 / 1000  Média = 5,5
58;onde achou isso?
57;http://mundoeducacao.bol.uol.com.br/matematica/media-ponderada.htm
57;mundo educação
58;5,5 a resposta?
57;mas não tem nas alternativas
44;bem isso
44;tem q ver com a professora
57;é so meia hora pra fazer?
58;nosso grupo e o 6?
55;pode ser que tenham alterado os valores
55;só
57;então se vai ver com a professora 
57;melhor sair
55;pode ser que tenham arredondado ess 5,459
58;to falando com ela
57;tambem acho
55;beleza
57;mas nao sei agora
55;podem ter alterado os valores
55;nesse calo a moda seria 5
44;sim
44;vamos ter q esperar
57;aham
57;21:00
55;beleza
57;e pra sair?
55;não sei
58;a media é esse de 5,459
58;fiz a conta aqui
44;mas a tabela
55;é a mesma tabela?
44;como verificar 
58;professora nao responde
58;vamos na base desse que a tamires mandou ue
44;putz
44;e agora?
55;se for a média é essa, a mediana é 5 e a moda é cnco também
58;moda é o 5
44;então vamos responder isso
57;vamos dre 5,4 e mod 5
55;B, D e F
57;sim
58;blz
58;vou responder
44;e perguntamos depois para a professra
58;ela me mandou a imagem
58;é igual o que a tamires mandou aqui
44;hum
58;coloquem la as respostas
57;beleza
55;beleza
57;vou responder 
57;b, d f
57;isso
57;mesmo?
58;sim
55;sim
57;ok
44;respondi
58;ja aqui?
57;SIm
55;boraa
44;vamos lá
55;A certa
57;"Dados quantitativos Neste caso, a característica observada assume valores numéricos que podem ser classificados em ""discretos"" ou ""contínuos"".   "
57;Sim
44;na apostila d prof
58;B esta certa tb,
44;a C tbem
58;Variáveis discretas: características mensuráveis que podem assumir...
55;Dados discretos resultam de um conjunto finito de valores possíveis, ou de um conjunto enumerável desses valores, apostila
55;D certa
57;a e ta errada
55;simsim
44;então a unica incorreta é a letra E
58;sim sim
55;todas concordam?
44;vamos responder
44;sim
58;A,B,C e D?
44;por mim,sim
55;rihanna?
58;respondido
57;ta certa a c tambem
57;ta muito lento aqui
44;respondido
58;so ir com calam kk
57;hahahah
44;sim,menos a E
55;eita, sim, a C está cera kk
55;certa*
58;*calma kkk
57;toodas menos a e isso?
44;isso
58;siim
44;deu certo Araujo?
58;desculpa galera
55;relaxaaa
44;sem problemas
55;bora fazer essa kkk
58;sobre a C,um estudo de um grupo de pessoas em um ponto no tempo para determinar se uma exposição que está associado com a ocorrência de uma doença.
58;a D,Prospectivo: acompanha pacientes ao longo do tempo
58;Um estudo prospectivo: Estudo que investiga o que acontece de agora para a frente em relação ao que se pretende estudar
58;o que acham?
44;risco pode ser definido como a probabilidade de ocorrência de um evento desfavorável. Risco em saúde como ser definido, ainda como perigo potencial de ocorrer uma reação adversa à saúde das pessoas expostas a ele. 
44;referente a A
44;desculpe a ee
44;pensei em outra coisa
55;tudo bem kk
55;acho que a C está certa
58;a D ate acompanhando grupos concordo, depois estou tentando achar algo sobre
44;Estudo retrospectivo – quando os dados são coletados do passado, voltando-se no tempo (através de exames de registros, entrevistas e assim por diante). Estudo prospectivo – quando os dados são coletados no futuro, de grupos que compartilham fatores comuns.
44;Estudo transversal – quando os dados são observados, medidos e coletados em um ponto no tempo.
55;B e C certas então?
58;foi o que ja mandei la em cima,mais nada fala sobre a parte do fator potencialmente causativo
44;por mim sim
44;B e C
58;estou procurando sobre a D ainda,pq o começo esta certo
55;tbm
57;voltei
57;a c ta certa?
44;Prospectivo: acompanha pacientes ao longo do tempo – follow up. Em geral, são mais caros e há mais perda de dados, mas costumam ser mais precisos.
58;entao mais o estudo prospectivo pode se feito sem um fator causativo?
57;ta errada dai a d
58;ou so quando ha causa
58;isso que nao acho
55;afs kk
58;nao acho nada que possa afirma o final da D
57;aham
57;toi achando q e errada
58;o que acham?
44;vamos de B e C,ou não?
55;
57;acho q sim
58;tbm acho, ja que essa D a gnt nao consegue confirmar
55;acho que a D pode estar certa
57;talvez
55;por ser: causa->efeito
44;então,vamos marca-la
58;o que acham melhor?
57;b,c e d
58;vou responder
55;por mim tudo bem
44;também
57;tambem
58;respondi
57;respondida
44;menos a A
55;respondi
46;ola
28;oii
33;Oi
28;podemos começar?
46;sim
46;pra mim a letra A e C estao corretas
28;população não é o todo?
33;a A nao e
28;e a amostra o subconjunnto?
33;eu acho q e a D
28;tbm acho
46;acho que tem mais de uma correta
33;A D para mim esta correta
46;voces acham que tem alguma alem da D ?
33;Vamos ir discartando
33;tipo
33;a A e falsa
28;ok
33;pq ele diz q é um subconjunto da da população
33;mas é um todo
46;a B parece veriica ao meu ver
46;veridica*
28;a B parece ok
33;SS
33;também
46;vamos para a C entao
33;A C esta errada
28;pq?
33;pq censo é uma coleção de dados relativos a todos os elementos de um população
46;Censo é o conjunto de dados estatísticos que informa diferentes características dos habitantes de uma cidade, um estado ou uma nação.
28;entendi
28;obrigado meus amigos
33;mas acho q é tambem
33;pq quando faz um censo 
33;digamos 
33;de eleição
33;eles pegam de umtanto
33;vamos pesquisar
33;para ver se é ou não]
28;O censo ou recenseamento demográfico é um estudo estatístico referente a uma população que possibilita o recolhimento de várias informações, tais como o número de homens, mulheres, crianças e idosos, onde e como vivem as pessoas, profissão, entre outras coisas.
33;eu vou de B e D
46;estou achando que a C pode estar correta
46;pra mim esa entre BCD e BD
28;eu to entre B e D
46;entao B e D esta correta
46;so flata saber se a C esta tambem
28;"a C acho que ta errado por conta do ""parcela da população"""
33;bem isso
46;entao gabriel de acordo com apenas B e D ?
33;concordo com o Bruno
46;ok
33;ss
33;vou responder
46;todos tem que responder ?
28;respondi ja
33;tem E
33;kkkkk
46;eu tbm
46;acho que a E ta errada
28;eu tbm
46;pois seleçao aleatorio é apenas uma das formas nao apenas uma
33;ss
33;concordo
46;foi metade do tempo ja
33;fechou
33;B e D
46;suave
28;se acabar o tempo ja era?
46;eita
46;foi pra proxima
33;eu acho q a E esta errada
46;eu tbm
33;vou falar com o professor
33;vamos para essa
28;letra a
46;acredito estar correta a A
28;faz sentido
46;a B esta errada ao meu ver
46;nao seria ou mas sim e
46;e tirar o apenas
28;tbm acho
28;o ou e o apenas
28;fizeram a diferença ali
33;B errada
46;sim
46;estou com duvida na C
33;a A to achando estar errada
33;os dados estatiscos
33;tipo
33;parados
33;mas um estudo da populaçao
33;os dados sempre estao subindo
33;ou decendo 
46;DADO ESTATÍSTICO:      é um dado numérico e é considerado a matéria-prima sobre a qual iremos aplicar os métodos estatísticos.
28;ta certa em
33;ok
46;no esperimental aplica-se algum tratamento ?
33;C correta
46;meu deus escrevi com s
46;e vao ver meu erro
46;desculpa eu sei que é com X
28;hahahhaha
33;A C esta no material do professor
33;na pagina 9
28;c acho estar certa tb
46;bruno veja ai pra é ruim olhar pelo pdf e vc tem imprimido
33;D tambme correta
46;concordo gabriel
33;A D esta junto
28;nossa minha bolsa ta longe
28;mas perai
33;E tambem esta correta
28;pq??
46;nao seria experimental
33;Ta no quadroa abaixo 
33;da pagina 6
33;pagina 9*
33;ele da esse exemplo
28;achei
46;entao suave se ta no livro
28;quais as corretas entao?
33;nao
33;ele fala de experimento mesmo
46;A C D ?
33;o de estudo observacional
33;ele da o exemplo o de arma
46;eu vo de A C D e vcs ?
33;Também
33;vamos ver o Bruno
28;eu tbm
46;boooora
46;boa time
28;vamoooo
46;ja respondi
52;ola marilene
37;OLAA
37;quer tainha ?
49;e ae
52;vinho?
52;e mt saijsiajsa
37;como que faz somatorio de abcde ?
52;oooo
52;tem tempo sa coisa aqui
52;vamo da um time
52;slc
52;sou burrão mano
52;ja pssou 3 minutos e eu to ??
52;https://pt.wikipedia.org/wiki/Somat%C3%B3rio
37;Variáveis quantitativas são aquelas expressas pelas variáveis com níveis de mensuração intervalar ou de razão. Ou seja, são aqueles nas quais as variáveis assumem valores numa escala métrica definida por uma origem e uma unidade, por exemplo: idade, salário, peso, etc. 
52;tira um print ai
52;vamo da um time
52;seriãp 
52;vou ler sobre, sei nada de nada
37;mensuração = medir
37;assim fica mais facil
52;tá
49;blz 
52;a) sim
52;eu acho 
48;boa noite
50;boa
47;oi nene
48;Retrospectivo: baseado em dados de períodos passados.
47;vcs ja baixaram os lvros?
48;ainda nao
50;já
52;a) correta
37;eu acho  Tipos de dados: nominal, ordinal, intervalar e razão. As variáveis possuem níveis de mensuração. Estes são: nominal, ordinal, intervalar e razão.
52;b) errada
37;"Intervalar	Valores contínuos, magnitude / distância / intervalos (numericamente) iguais entre escores; ponto zero arbitrário - proíbido comparações personalistas"":  evitar o é"""
37;c ta errada tb
37;notas escolares sao da classe ordinal e nao intervalar
52;a b deve ta certa
52;por conta de ser nominal 
50;https://pt.slideshare.net/FClinico/tipos-de-estudos-epidemiolgicos-26672507
52;tipo, ele trabalha com palavras 
56;Cara, é so pra mim que essas frase sao confusas? oO
37;entendi 
52;diferente de ordinal 
50;pra mim também está, o professor não falou sobre isso ainda
52;que é só com numeros
47;só
37;mas ele ta dizendo que sim,nao , nao sei 
37;é exemplo de nominal 
37;ahhhhhhhhh
37;vdd
37;ele fala nominal e nao ordinal 
37;acho que tara certa msm
52;puts grilo 
48;a B acho que esta certa
50;"a ""C"" também"
52;b) correta
37;a,b,d certas 
37;to em duvida da E agr
37;nao saquei direito 
52;vamo que vamo, se tiver errado, a gente ve com o professor
50;
37;acho que ta errada a E 
37;nivel intervalar é como o marques mandou la 
37;temperatura por exemplo 
37;a diferença entre dois valores É SIGNIFICATIVA SIM 
37;se for ver 20°C e 80°C 
37;tem mt diferença
48;a A ta confusa
56;"é ""B"" pra mim ta certa tbm"
37;a,b,d corretas entao 
52;acho que ta correta a e)
37;vamo pesquisar ent
52;a,b, d, e corretas
37;tem 10 min
52;pode ser?
48;a D tambem por causa do final
48; e outro sem esse fator.
52;por mim 
52;veja ai você
52;o que tu acha
47;cra
37;medida em graus Celsius constitui uma variável intervalar. Pode-se dizer que a temperatura de 40C é maior do que 30C e que um aumento de 20C para 40C é duas vezes maior do que um aumento de 30C para 40C. 
47;nao pode isso
47;aqui ta rodano norma
37;pra mim isso aqui é significativo 
37;tipo ser maior ou menor que tal valor 
52;mas eai?
50;B, C
52;responda com suas palavras
52;iajsijasjiajs
48;a A pode estar certa tambem
52;pq eu não entendi =s
52;vamo sair ai 
37;http://www.oficinadapesquisa.com.br/APOSTILAS/METODOL/ApostilaVariaveis2005b.PDF
48;nao, estou enganado
52;e esperar o dark
48;e confuso
48;B,C 
50;a D também
48;e esse outro sem esse fator
48;eu nao entendi cara
50;
50;B, C e D
48;entendi agora 
56;a C ta certa msm? onde vc achou
48;todo mundo condorda ?
50;a C mandei antes
50;achei no linkedin slideshare
57;To aqui
44;vamos lá
37;a,b,d,e entao 
44;vamos começar os cálculos
57;amplitude 
50;O que acham?
57;e o menos - o maior
56;vamo
50;viu a imagem?
57;seria o 25 - 17 dai
50;concorda?
48;concordo
58;galerinha mt calma
58;avisem quando iniciam por favor
50;a A não entendi
56;ja respondi
58;obrigado
57;eu mandei um to aqui
52;A) errada
56;A tbm nao deu boa
57;ainda nao iniciei hah
44;eu mandei vamos lá
37;sera ?
49;aho que a A ta errada tbm
52;Quanto maior a coleta, maior probalidade de erro
37;hmmmm
37;entendi 
58;mais se a gnt nao iniciar nao lemos o que vcs falam
52;Probabilidade *
48;ela auxilia entrevista
48;mas sobre exames de registros eu nao achei nada
44;então vamos começar novamente
37;c ta certa
57;vamos la então
49;É muito difícil poder trabalhar com todos os elementos da população, pois é comum termos pouco tempo e recursos.
50;também não, apareceu algo sobre enfermagem
37;e a replicação é usada efetivamente quando temos sujeitos suficientes para reconhecer diferenças a partir de tratamentos diferentes. (Em outro contexto, replicação se refere à repetição ou duplicação de um experimento de modo que os resultados possam ser confirmados ou verificados). 
49;por isso a A é errada
57;desvio padrao primeiro vemos a media isso
57;?
58;sim
37;b/ c corretas 
56;4min reponde ai time
57;que deu 17,8
37;https://www.passeidireto.com/arquivo/24158561/apostila-probabilidade-e-estatistica/21
37;tem aqui
50;a C deu uma bugada agora kkk
55;desculpa, não vi que já tinham começado
47;o que vcs acaham qu é?
57;ai disso subtrai cada valor
58;agora tem que tirar o valor de x ,da media
37;ahhh aqui explicou bem a letra A
48;eu ja respondi
37;No entanto, uma amostra grande não é, necessariamente, uma boa amostra. Embora seja necessário ter uma amostra que seja suficientemente grande,   émais importante ter uma amostra na qual os dados tenham sido escolhidos de alguma maneira apropriada, tal como seleção aleatória (descrita mais adiante).
58;pelas minhas contas deu 3,08
58;no caso letra f
52;D) errada! Porque uma amostra grande não quer dizer que ela seja a mais adequada 
47;o que é pra responder
49;D é obvioque aerrada, pois tem ue haver aleaoriedade nas pesquisas
50;A C eles dão o exemplo de uma doença que está relacionada à outra
58;chegaram no msm resultado?
37;hahah boa
37;entao b/c 
37;?
52;Sim, b/c corretas
44;não, vou terminar a conta
52;A/ d errada
56;então cara, isso que eu to achando mto estranho
58;ok
56;msm pesquisando, nao tem nada muito relacionado com as alternativas
52;Pode ser?
57;to termindo ainda
50;sim
37;ja marquei 
50;tiramos a C?
52;Dmr
49;éisso a msm
48;sim
50;B e D?
50;Fechou?
48;melhor acertar parcialmente do que errar tudo
50;Foi mal ae time
50;confundi nós
50;Responderam?
47;vai renan
47;responde vado
47;viad
47;o
44;bateu com o resultado da Tamires]
56;vcs
44;letra F
56;tem que responder
56;d novo
58;rebeca?
50;já respondi
56;eu tbm
50;que boxta
55;oii
47;aeee
56;nice 
55;fazendo ainda
48;falei
50;aaaaaaeeee
50;pqp
50;que legal
50;agora aquele excel
56;A  e E?
47;modal 17?
47;nosa
56;modal 13 n?
