ID-COLABORAÇAO;QUESTAO;ALUNO;TIPO COLAB;MENSAGEM;ARQUIVO;DATA/HORA;Como saber a qual CHAT pertence  ATIVIDADE?;
2a37c925-7d40-4d43-924f-e10d4e026218;306828a6-fcf2-4b7d-8256-c0f604704a5c;58;1;todas aqui?;;28/03/2017 20:53;Atividade_02;
e39aad16-6f5b-422f-a803-5652498e56ad;306828a6-fcf2-4b7d-8256-c0f604704a5c;44;1;sim;;28/03/2017 20:53;Atividade_02;
c54e5b0c-d016-4f66-9d0e-82b0e384bd4b;306828a6-fcf2-4b7d-8256-c0f604704a5c;55;1;sim, araujo já tá vindo também;;28/03/2017 20:53;Atividade_02;
230112b6-6c47-45de-ad4b-fd7144baafc6;306828a6-fcf2-4b7d-8256-c0f604704a5c;55;1;a A está certa, acabei de ver na apostila;;28/03/2017 20:54;Atividade_02;
05ba8a3d-117b-4797-8dd8-98d681e7ce75;306828a6-fcf2-4b7d-8256-c0f604704a5c;44;1;blz;;28/03/2017 20:54;Atividade_02;
d5ff1736-ac41-442f-b7fa-971bbd5e7a04;306828a6-fcf2-4b7d-8256-c0f604704a5c;57;1;entreii;;28/03/2017 20:55;Atividade_02;
55ec93ff-427c-4c02-b3a6-9415356d03de;306828a6-fcf2-4b7d-8256-c0f604704a5c;57;1;a a ta certa mesmo;;28/03/2017 20:56;Atividade_02;
ceab72d6-0500-42e6-9283-dd289ae2e56a;306828a6-fcf2-4b7d-8256-c0f604704a5c;55;1;beleza kk;;28/03/2017 20:56;Atividade_02;
87ffd435-9ddd-434e-990b-597d99abc922;306828a6-fcf2-4b7d-8256-c0f604704a5c;58;1;pelo que pesquisei a B sao exemplos de um erro nao-amostral;;28/03/2017 20:57;Atividade_02;
32c50b10-08f6-464b-bac6-9bad667ac2dd;306828a6-fcf2-4b7d-8256-c0f604704a5c;44;1;a  C está incorreta;;28/03/2017 20:57;Atividade_02;
107c8d7f-c279-494d-9f4f-2ace2170f767;306828a6-fcf2-4b7d-8256-c0f604704a5c;57;1;sim;;28/03/2017 20:57;Atividade_02;
2a14d035-b15b-4b6c-9682-b6c0274bbfcd;306828a6-fcf2-4b7d-8256-c0f604704a5c;55;1;só A então?;;28/03/2017 20:58;Atividade_02;
fa77e3d3-bd01-49a0-a8b2-aa1f6f7a8a85;306828a6-fcf2-4b7d-8256-c0f604704a5c;57;1;eu acredito q sim;;28/03/2017 20:58;Atividade_02;
2bb08d1f-f58c-4cf3-83fd-3ceb3d4596ca;306828a6-fcf2-4b7d-8256-c0f604704a5c;58;1;nao sei ;;28/03/2017 20:58;Atividade_02;
e2c923c3-c13a-4ad2-b895-fed6f2c63aae;306828a6-fcf2-4b7d-8256-c0f604704a5c;58;1;calmai;;28/03/2017 20:58;Atividade_02;
1321105a-4df7-4a4a-8f82-48148f4e50c2;306828a6-fcf2-4b7d-8256-c0f604704a5c;58;1;achei isso;;28/03/2017 20:58;Atividade_02;
5867c637-4190-472e-89e6-ab344c3fe0c7;306828a6-fcf2-4b7d-8256-c0f604704a5c;57;1;pelo q pesquisei;;28/03/2017 20:58;Atividade_02;
b7baebdc-6856-48f1-a5f0-b53cebf5042d;306828a6-fcf2-4b7d-8256-c0f604704a5c;57;1;"Um erro amostral é a diferença entre o resultado amostral e o verdadeiro resultado da população; tais erros resultam das flutuações amostrais devidas ao acaso.  Um erro não-amostral ocorre quando os dados amostrais são coletados, registrados ou analisados incorretamente (tal como a seleção de uma amostra tendenciosa, o uso de um instrumento de medida defeituoso, ou cópia incorreta dos dados).";;28/03/2017 20:58;Atividade_02;
e2913002-a642-4ee5-a56a-edec0a0f0447;306828a6-fcf2-4b7d-8256-c0f604704a5c;44;1;então pelo que vi sim;;28/03/2017 20:58;Atividade_02;
b832a028-d9d6-475d-86a3-9b5d03b1e92c;306828a6-fcf2-4b7d-8256-c0f604704a5c;58;1;extamente isso que tamires mandou kkk;;28/03/2017 20:59;Atividade_02;
3c9e3980-de0c-42fe-8676-9544bb50f53c;306828a6-fcf2-4b7d-8256-c0f604704a5c;58;1;a esta certa e b errada;;28/03/2017 20:59;Atividade_02;
3bd46b0e-20b0-4386-b075-f945a3abdef3;306828a6-fcf2-4b7d-8256-c0f604704a5c;55;1;c errada também?;;28/03/2017 20:59;Atividade_02;
d4ae31a6-3f8c-4b43-a8fc-0ccd18107464;306828a6-fcf2-4b7d-8256-c0f604704a5c;57;1;então é A?;;28/03/2017 20:59;Atividade_02;
db5c308d-3228-4471-be09-90a2b691a9e7;306828a6-fcf2-4b7d-8256-c0f604704a5c;58;1;acho que so A msm;;28/03/2017 21:00;Atividade_02;
cdb5103e-1308-4b9f-9e54-2fa810ded387;306828a6-fcf2-4b7d-8256-c0f604704a5c;57;1;pode ser mais q uma certa?;;28/03/2017 21:00;Atividade_02;
48f0733f-0f1e-4129-8c4a-b7ee627614f1;306828a6-fcf2-4b7d-8256-c0f604704a5c;58;1;sim;;28/03/2017 21:00;Atividade_02;
77e8de9c-aed2-4aa2-a82a-d3dc2a639d27;306828a6-fcf2-4b7d-8256-c0f604704a5c;44;1;calma, ;;28/03/2017 21:00;Atividade_02;
d2d4095e-fe00-4bfe-8f62-0e4f07508af7;306828a6-fcf2-4b7d-8256-c0f604704a5c;55;1;pode, mas pode ser apenas uma;;28/03/2017 21:00;Atividade_02;
3deee5c5-21d7-48c9-839e-e094d7427496;306828a6-fcf2-4b7d-8256-c0f604704a5c;55;1;C está certa gente;;28/03/2017 21:01;Atividade_02;
1411fcd6-aa4a-489a-8f55-39ea0792f5e1;306828a6-fcf2-4b7d-8256-c0f604704a5c;44;1;por análise a C pode estar correta;;28/03/2017 21:01;Atividade_02;
616c1fb3-71f4-48b2-8d03-018f8c1cc3c1;306828a6-fcf2-4b7d-8256-c0f604704a5c;55;1;professor falou disso ontem;;28/03/2017 21:01;Atividade_02;
8c649cf7-6c1a-43f8-b875-bc916f5a96b0;306828a6-fcf2-4b7d-8256-c0f604704a5c;44;1;exatamente,;;28/03/2017 21:01;Atividade_02;
925cd047-9875-4889-b20f-c2c2c00f183e;306828a6-fcf2-4b7d-8256-c0f604704a5c;44;1;A e C;;28/03/2017 21:01;Atividade_02;
1b5a32f5-fecc-465a-ad34-88fb96d92de4;306828a6-fcf2-4b7d-8256-c0f604704a5c;55;1;é A e C;;28/03/2017 21:01;Atividade_02;
