PALAVRA;SENTIMENTO
1995a ; 0.846
32 dentes ; 0.965
4 de julho ; 0.927
a alucinar ;0
a auto-confiança ; 0.817
a big blue ;0
a brincar ; -0.141
a cheirar ;0
a chorar ;0
a dormir ;0
a educação superior ; 0.847
a falar ; -0.634
a ferver ; -0.924
a gritar ; -0.96
a maioria das aves ; 0.114
a maioria das bolas ; 0.035
a maioria das casas ;0
a maioria das plantas ; 0.931
a maioria dos carros ;0
a maioria dos cães ; -0.037
a maioria dos gatos ; 0.039
a maneira ; 0.032
a menos que ; -0.25
a morder ;0
a muito tempo atrás ; -0.03
a partir daqui ; 0.102
a pessoa espera ;0
a prender ; 0.817
a raça humana sobreviver ; 0.224
a reordenação ; 0.898
a repugnância que provoco ; -0.522
a tentar ; -0.861
a variância ; -0.935
a varrer ; 0.824
aah ; -0.786
aba ; 0.034
abafado ; 0.84
abafador ; 0.203
abafamento ; -0.633
abaixo da cintura ; -0.745
abaixo do joelho ; -0.087
abaixo do pescoço ;0
abaixo do peso ;0
abanador de sal pimenta ; 0.895
abanador de salada ; 0.053
abandonado ; -0.753
abandonar ; 0.862
abandono ; -0.91
abashed ; -0.993
abater a pessoa ; -0.91
abaulamento ; -0.914
abdutor ; 0.934
abdução ;0
abelha ; 0.989
abelha atarefada ; 0.991
aberto ; -0.695
abertura ; -0.03
abide ; 0.038
abience ; -0.637
abismal ; -0.808
abjectly ; -0.985
abjeta ; -0.966
ablate ; -0.976
ablate fino ; -0.976
ablate fora ; -0.976
ablação por ; -0.976
abominável ; -0.092
abordagem ;0
abortivo ; -0.705
abortus ; 0.581
aborígine ; 0.066
abra ; -0.045
abra a boca ; -0.053
abra a boca estreita ; -0.085
abra a caixa de correio ; -0.052
abra a carteira ; -0.05
abra a geladeira ; 0.965
abra a janela ; -0.111
abra a porta ;0
abra a porta da frente ; -0.072
abra a porta de fechamento ; -0.024
abra a porta do carro ;0
abra a terra ;0
abra o envelope ; 0.038
abra o olho ; -0.073
abra o pacote ; -0.068
abra o recipiente ;0
abra o vento ; -0.17
abrade ; -0.992
abrasivo ; -0.061
abrasão ; -0.101
abraço ; 0.755
abri ; -0.099
abridor da porta ; 0.024
abridor de carta ; 0.876
abridor de olho ; 0.806
abridor de vinho ; 0.108
abrigar ; 0.951
abrigo ; 0.741
abrigo de animais ; 0.749
abrigo de jardim ; -0.037
abrigo de sem-teto ; -0.767
abrigo temporário ; 0.196
abrir ; 0.718
abrir a mente ; 0.731
abrir a noite ; 0.116
abrir a prenda ; 0.98
abrir fechadura ; -0.156
abrir fechar ; 0.079
abrir negócio ;0
abrupta ; -0.732
absoluto ; 0.295
absolvitory ; 0.579
absolvição ; 0.901
absorto ; 0.983
absorvem a informação ; 0.757
absorver ; 0.72
absorver a umidade ;0
absorção de ; 0.566
absorção de água ;0
abstemiousal ; 0.555
abstemiousness ; -0.741
abster-se ; 0.93
abster-se de ; -0.914
abstinentes ; 0.555
abstinência ; -0.998
abstêmio ; 0.555
absurdidade ;0
abundante ;0
abundantes ; -0.073
abusar ;0
abuso de alcoolismo ; -0.514
abuso de bebidas alcoólico ; -0.514
abuso de álcool ; -0.514
abut ;0
abóbora ; -0.562
abóbora de inverno ; -0.562
abóbora de turbante ; -0.562
acabamento-refeição ; 0.757
acabamento completo ; 0.043
acabar ; 0.045
acabar a bebida ; -0.055
acabar com a fome ; 0.968
acabar com o crime ;0
acabou a tinta ; 0.747
academia ; 0.739
acalmar ; -0.691
acalmar-se ; 0.681
acalmem-se ; 0.715
acampamento de matemática ;0
acampar ; 0.786
acariciar ; -0.294
acarophobia ; -0.57
acarpous ; -0.705
accessary ; 0.9
accessorial ; -0.819
accordant ; 0.509
accusive ; -0.953
aceitar ;0
aceitar alterações ;0
aceitar o desafio ; 0.887
aceitação ;0
aceitação social ; 0.052
aceito ; 0.683
aceitável ; 0.258
acenda a tocha ; 0.937
acender ;0
acender a churrasqueira ; 0.073
aceno ; 0.021
aceno de cabeça ; 0.042
acentuadas ; -0.9
acentuar ; 0.982
acerb ; -0.707
acertar o alvo ;0
acertar o taco de beisebol ; -0.317
acessar rapidamente ; 0.825
acessibilidade ; 0.637
acesso à internet ; 0.827
acessório ;0
acessório de roupas ;0
acessório do cabelo ; 0.915
acessórios para roupa ; 0.152
acha que dizer ; 0.722
achados e perdidos ;0
acho difícil ; 0.85
acho engraçado ; 0.759
acho que ;0
acho que a comida ; -0.128
acho que a história ;0
acho que a idéia ; -0.069
acho que a necessidade ;0
acho que a questão ; -0.119
acho que a resposta ; -0.14
acho que abstrato do sistema ; -0.073
acho que doente ;0
acho que escrever ; 0.912
acho que liberdade ; 0.813
acho que o cão ; -0.204
acho que o futuro ;0
acho que o gato ; -0.035
acho que o processo ; -0.082
acho que passado ; -0.809
acho que primeiro ; 0.78
acho que racional ; 0.832
acho que sente-se ; 0.812
acho que sexo ;0
acho que uso sistema abstrato ; -0.089
acidente ; -0.819
acidente de automóvel ; -0.926
acidente de carro ; -0.815
acidente de carro grande ; -0.921
acidente de esporte ; -0.937
acidente de moto ; -0.952
acidente de trânsito ; -0.085
acidente de voo ; -0.987
